"This request is locked because Sales Invoice <a href=""/app/sales-invoice/{0}"">{0}</a> has been issued.","هذا الطلب مقفل لأنه تم إصدار فاتورة المبيعات <a href=""/app/sales-invoice/{0}"">{0}</a>.",
Toggle Full Width,تبديل العرض الكامل,
Toggle Theme,تبديل السمة,
Total,الإجمالي الكلي,
Total Amount,قيمة البيع اﻻجمالية,
Total Records,إجمالي السجلات,
Totals,الإجماليات,
Type or select brand,اكتب أو اختر الماركة,
Updated {0},تم تحديث {0},
Updating status...,جاري تحديث الحالة...,
Status updated to {0},تم تحديث الحالة إلى {0},
Please fill: {0},الرجاء تعبئة: {0},
View,عرض,
View Invoice,عرض الفاتورة,
View Website,مشاهدة الموقع,
Warranty,الضمانة,
Warranty Days,أيام الضمان,
Warranty Terms,شروط الضمان,
Actual Delivery Date is required,تاريخ التسليم الفعلي مطلوب,
Delivery Receiver is required,مستلم التسليم مطلوب,
